rogue,Dot11EltCountry,RSNVersion,rates,CapabilitiesMin_MPDCU_Start_Spacing,DSSS_CCK,Max_A_MSDU,Rx_STBC,Tx_STBC,Short_GI_40Mhz,Short_GI_20Mhz,SM_Power_Save,Supported_Channel_Width,LDPC_Coding_Capability,Min_MPDCU_Start_Spacing,Max_A_MPDU_Length_Exponent,TX_MCS_Set_Defined,RX_MSC_Bitmask,Compressed_Steering_n_Beamformer_Antennas_Supported,Receive_NDP,entropy
1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.8326823962159287
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.830476313271938
-1,0,0,8,0,0,0,1,0,0,1,3,0,0,0,3,0,1,3,1,2.8239547771729674
1,1,1,8,5,0,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.824623992771463
1,1,1,8,7,0,1,1,1,0,1,3,0,0,7,3,0,1,0,0,2.830456657556679
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.828730682216865
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8282024591875237
1,0,1,8,5,1,0,1,1,1,1,3,1,0,5,3,0,1,0,0,2.8301469264063988
-1,1,1,4,5,0,1,1,1,0,1,3,0,1,5,3,0,1,2,0,2.8346019347262867
1,0,1,8,5,1,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8354984032557162
1,1,1,8,4,0,1,1,1,0,1,3,0,1,4,3,0,1,3,1,2.8358617315564354
-1,0,1,8,0,0,0,1,1,0,1,3,0,1,0,3,1,1,0,0,2.8293119903792094
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.822508708401427
1,1,1,8,7,0,1,1,1,0,1,3,0,0,7,3,0,1,0,0,2.8263338023045783
1,1,0,6,6,1,1,0,0,0,1,3,0,0,6,3,0,1,0,0,2.827407283291201
-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.833543290320849
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.8271437686395027
-1,1,1,8,5,0,1,1,1,1,1,3,1,1,5,3,0,1,2,0,2.831678383600444
1,0,0,8,6,1,1,0,1,1,1,3,0,0,6,3,0,1,0,0,2.8324262176100814
1,1,1,8,7,0,1,1,1,0,1,3,0,0,7,3,0,1,0,0,2.835302259550506
1,1,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,2,1,2.840025493326837
-1,1,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.8391798676923523
1,0,0,8,5,1,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.839989091234191
-1,1,1,8,5,1,1,1,1,1,1,3,1,1,5,3,0,1,0,0,2.8410750708138766
-1,0,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8406457089210178
1,0,1,8,5,1,1,1,1,1,1,3,1,1,5,3,0,1,0,0,2.844677161429651
-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8501344705628853
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8481508998689775
1,1,0,8,5,0,0,0,0,0,0,3,0,0,5,3,0,1,0,0,2.8447592922792038
-1,0,1,8,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.84374489273855
1,0,1,8,5,1,1,1,1,0,1,3,0,1,5,3,0,1,0,0,2.8438488752437103
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.83835850641084
1,0,1,4,7,0,0,1,0,0,1,3,0,1,7,3,0,1,0,0,2.8409693189480065
-1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.8403471727054463
1,0,0,8,7,0,0,1,1,0,1,3,0,1,7,3,0,1,0,0,2.8424416572083757
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.837039963180343
-1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.8362911883457143
1,0,1,8,5,0,0,1,1,0,1,3,0,1,5,3,0,1,2,1,2.839737918874743
-1,0,1,8,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.8386834407516837
1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.843628350647842
-1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8429085493807205
1,0,1,4,6,0,0,1,1,1,1,3,1,1,6,3,0,1,0,0,2.845132233713862
-1,1,1,8,0,0,0,1,1,0,1,3,0,1,0,3,1,1,0,0,2.8404253154355628
-1,0,1,8,0,0,0,1,1,0,1,3,0,1,0,3,1,1,0,0,2.835758658970888
-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84034720254502
-1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.8383665555208992
1,1,1,4,0,0,0,1,1,0,1,3,0,1,0,3,0,1,3,0,2.834805541807896
-1,0,1,8,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,0,2.8292233824257673
1,1,0,4,0,0,0,1,1,0,1,3,0,1,0,3,0,1,3,0,2.825962927909521
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8248320347947695
1,1,0,8,0,0,1,0,0,0,1,3,0,1,0,3,1,1,0,0,2.8204606815217335
-1,1,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.8200174895077597
1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.818228005684866
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.813780173732468
1,1,0,8,0,0,1,0,0,0,1,3,0,1,0,3,1,1,0,0,2.8096033322498952
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8082306013925757
1,1,1,4,4,0,1,1,1,1,1,3,1,1,4,3,0,1,2,0,2.812189688314967
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.8108047323239873
1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.809716879186544
-1,0,1,4,0,0,0,1,0,0,1,3,0,0,0,3,0,1,0,0,2.8053713850021826
1,1,1,8,0,0,1,0,0,0,1,3,0,1,0,3,1,1,0,0,2.8011741022026855
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.796958753342289
1,1,1,4,0,0,0,1,1,0,1,3,0,1,0,3,0,1,3,0,2.79391867479724
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.792608159775315
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.792311051946369
-1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7974260483113618
1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.802079414514281
1,1,1,8,5,0,0,1,1,0,1,3,0,0,5,3,0,1,0,0,2.8006165739234716
-1,0,1,8,0,0,0,1,1,0,1,3,0,1,0,3,1,1,0,0,2.797079229080102
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.796829984752113
-1,1,1,4,4,0,0,1,1,0,1,3,0,1,4,3,0,1,2,0,2.7995935959145317
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7992823548255936
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.798925586049869
